Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2023-12-03,1922,2017,https://boxd.it/5g5ioT,3,,Very slow paced and the accent made it hard to follow. But it was an enjoyable story nonetheless.,,2023-12-02
2026-01-23,The Rip,2026,https://boxd.it/cM3VaV,4,,Really really good watch. Highly recommended.,,2026-01-22
